Code_terrain	Secteur	Code_secteur	Type	Numero_unique	Code_unique	Nom_nid_nichoir	Localisation	Position	Orientation	Materiel	Installation - Remarques	INSEE_COM	NOM_COMM	CODE_DEPT	NOM_DEPT	NOM_REGION	LATITUDE	LONGITUDE	ALTITUDE
311	Hyeres	H	N	N09a	HN09a	Cascade_amont	Nid naturel sur gros rocher en amont nichoir, piscine profonde devant. Descente en amont RG	RD	Donne vers RG / amont	En rappel		73326	VIMINES	73	SAVOIE	RHONE-ALPES	45,5353406	5,8656693	380
314	Hyeres	H	N	N10a	HN10a	Cascade_aval_2	Dans cascade a l'aval du nichoir cascade - acces par chez les gens (OK) - en aval RG puis traverser et remonter en longeant la cascade artificielle RD (attention trous profond)	RD	Donne vers l'aval	Impermeable		73326	VIMINES	73	SAVOIE	RHONE-ALPES	45,5362274	5,8665275	374
315	Hyeres	H	N	N11a	HN11a	Plantees_amont	Sur berge rive gauche, remonter environ 200-300 m depuis le pont	RG	RAS	RAS		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5391056	5,8701324	364
317	Hyeres	H	N	N12a	HN12a	Plantees_2	Sous meme pont que nichoir, dans cavite	RD	RAS	Echelle ?	2014 et 2015	73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5398269	5,8716131	362
318	Hyeres	H	N	N13a	HN13a	Plantees_aval	Sur gros rocher juste un peu en aval de la maison RD. Acces depuis Plantee en longeant la riviere RG	RG	Donne vers l'aval	RAS		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5406235	5,8732009	361
320	Hyeres	H	N	N14a	HN14a	Amont_brilles_aval	En amont du pont, dans cascade. Cette derniere se compose de 2 parties dont une partie un peu plus reculee RG. Moins d'eau passe dessus (coin le plus tranquille de la cascade). Le nid est situe cote RD de cette partie. Bien regarder car il est assez dur a trouver	RG	Donne vers l'aval	Impermeable		73326	VIMINES	73	SAVOIE	RHONE-ALPES	45,5449123	5,8812556	341
324	Hyeres	H	N	N15a	HN15a	Tiolliere_fer_2	Dans meurtriere vers nichoir	RG	Donne vers RD	"Echelle ; Lampe"		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5457818	5,8852858	337
325	Hyeres	H	N	N16a	HN16a	Tiolliere_fer_3	Meurtriere a l'entree amont du tunnel, rive droite	RD	Donne vers RG	"Echelle telescopique ; Lampe"	2016	73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5456317	5,8854800	340
342	Hyeres	H	N	N17a	HN17a	Beauregard_2	Plusieurs cavites favorables. Descente en amont RD	RD	RAS	RAS	2014: vieux nids, 2016: en face nichoir	73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5509456	5,8914828	308
329	Hyeres	H	N	N18a	HN18a	Grignon_cascade	A cote de la cascade juste en aval du pont au nichoir	RG	RAS	RAS		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5333566	5,8916438	492
345	Morge	M	B	B01a	MB01a	Ture	Descente en aval RD	Milieu	Donne vers l'aval	RAS	N'esxiste plus (pas) janvier 2015 - Reinstalle le 22 janvier 2015 - Crottes sous le pont	38362	SAINT-AUPRE	38	ISERE	RHONE-ALPES	45,4138012	5,6711233	551
346	Morge	M	B	B02a	MB02a	Chemin_vernay	Descente en aval	A COMPLETER		RAS	Refixe au plafond en janvier 2015	38362	SAINT-AUPRE	38	ISERE	RHONE-ALPES	45,4111124	5,6745565	511
347	Morge	M	B	B03a	MB03a	Champallier	Sous pont vers ferme.	A COMPLETER		RAS	En amont nid naturel 2014	38362	SAINT-AUPRE	38	ISERE	RHONE-ALPES	45,4064801	5,6717348	486
349	Morge	M	B	B04a	MB04a	Champtoraz	Descente en aval RG	RG	Donne vers RD	RAS		38362	SAINT-AUPRE	38	ISERE	RHONE-ALPES	45,4034520	5,6683016	474
350	Morge	M	B	B05a	MB05a	Rossetiere	Descente en amont RD	Milieu	Donne vers l'amont	RAS	OK au plafond en janvier 2015	38362	SAINT-AUPRE	38	ISERE	RHONE-ALPES	45,3923890	5,6512427	462
351	Morge	M	N	B06a	MB06a	Belier	A COMPLETER				Non remis	38362	SAINT-AUPRE	38	ISERE	RHONE-ALPES	45,3979303	5,6513071	507
353	Morge	M	B	B07a	MB07a	Vials	Descente en amont RG	RG	Donne vers RD	Echelle ?	Refixe en janvier 2015	38362	SAINT-AUPRE	38	ISERE	RHONE-ALPES	45,4047175	5,6542253	538
354	Morge	M	B	B08a	MB08a	Delphin	Passerelle pour chemin. Continuer route qui monte jusqu'au bout puis chemin sur 100 m environ. Descente en amont RD	RD	Donne vers RG	RAS		38362	SAINT-AUPRE	38	ISERE	RHONE-ALPES	45,4126036	5,6549550	664
355	Morge	M	B	B09a	MB09a	Vachonnes	Sous pont route principale. Descente en aval RD	RD	Donne vers RG	RAS	Raccroche en novembre 2014	38383	SAINT-ETIENNE-DE-CROSSEY	38	ISERE	RHONE-ALPES	45,3854306	5,6460112	438
356	Morge	M	B	B10a	MB10a	Reynauds	Sous pont route princiaple. Descente en amont RD (entre pont et passerelle). Inspecter aussi trous cote aval du pont.	Milieu / amont	Donne vers l'amont	RAS	Refixe en janvier 2015	38383	SAINT-ETIENNE-DE-CROSSEY	38	ISERE	RHONE-ALPES	45,3845000	5,6354069	426
357	Morge	M	B	B11a	MB11a	Gatteliere	Sous passerelle beton	A COMPLETER		RAS		38383	SAINT-ETIENNE-DE-CROSSEY	38	ISERE	RHONE-ALPES	45,3910780	5,6199654	450
358	Morge	M	B	B12a	MB12a	Bourdis	Sous pont route principale (vers arret de bus). Descente en aval RG	RG	Donne vers RD	RAS		38432	SAINT-NICOLAS-DE-MACHERIN	38	ISERE	RHONE-ALPES	45,3963198	5,6127879	476
359	Morge	M	B	B13a	MB13a	Faverge	RAS	Milieu	Donne vers l'amont	RAS	Present janvier 2015 - Refixe en novembre 2015	38383	SAINT-ETIENNE-DE-CROSSEY	38	ISERE	RHONE-ALPES	45,3813313	5,6312978	419
360	Morge	M	B	B14a	MB14a	Grotte_ours	Dans structure carree d'arrivee du canal de derivation RG qui ressemble a une grotte. Acces par chemin carrossable RG, traverser petite passerelle au dessus du canal, descendre et passer entre mur et barbeles, acces par l'amont de la grotte (ailleurs trop profond)	RG		"Lampe ; Impermeable"	Installe le 3 fevrier 2016	38383	SAINT-ETIENNE-DE-CROSSEY	38	ISERE	RHONE-ALPES	45,3782566	5,6313944	415
362	Morge	M	B	B15a	MB15a	Aval_grotte_ours	Sous le pont-passerelle vers maison. Descendre rive droite, par muret qui longe.	RD	A COMPLETER	RAS		38383	SAINT-ETIENNE-DE-CROSSEY	38	ISERE	RHONE-ALPES	45,3770433	5,6315768	410
364	Morge	M	B	B16a	MB16a	Etang_dauphin	Descente en aval RG (passer sous berbeles)	Milieu / aval	Donne vers l'aval	RAS		38383	SAINT-ETIENNE-DE-CROSSEY	38	ISERE	RHONE-ALPES	45,3649009	5,6335831	400
365	Morge	M	B	B17a	MB17a	Moulins_crossey	RAS	RD	Donne vers RG		Anciennement appele Taillandiere	38383	SAINT-ETIENNE-DE-CROSSEY	38	ISERE	RHONE-ALPES	45,3678105	5,6286693	393
367	Morge	M	B	B18a	MB18a	Croix_bayard	Descendre par l'amont RG	Milieu / aval	Donne vers l'amont	Lampe		38133	COUBLEVIE	38	ISERE	RHONE-ALPES	45,3669691	5,6257362	396
368	Morge	M	B	B19a	MB19a	Impasse_morge	Descente en aval RD	RD	Donne vers RG			38133	COUBLEVIE	38	ISERE	RHONE-ALPES	45,3689140	5,6227570	385
370	Morge	M	B	B20a	MB20a	Taillanderie	Pont qui mene a ATF - Pause Deco. Descente pas l'aval RG ou si portail ouvert : par l'amont RG (echelle pour descendre)	Milieu	Donne vers RD	RAS		38133	COUBLEVIE	38	ISERE	RHONE-ALPES	45,3711722	5,6161809	376
374	Morge	M	B	B21a	MB21a	Camet_bas	Descendre par l'aval, en faisant attention	RD	Donne vers RG	RAS		38133	COUBLEVIE	38	ISERE	RHONE-ALPES	45,3698833	5,6101727	364
377	Morge	M	B	B22a	MB22a	Carrosserie	Descendre par route goudronnee (garage-carrosserie). Descente en aval RD (apres le tournant de la route, prendre sorte de petit chemin et remonter environ 50 m jusqu'au pont)	RD	Donne vers RG	RAS		38563	VOIRON	38	ISERE	RHONE-ALPES	45,3695721	5,6011579	332
381	Morge	M	B	B23a	MB23a	Usine	Sur mur usine en hauteur (vers piliers beton)	RD	Donne vers l'aval	Echelle telescopique ou 3 pans	Pose en 2018	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3705051	5,5966651	312
383	Morge	M	B	B24a	MB24a	Hopital	Descendre par l'amont RD, le long du mur	RD	Donne vers RG	Echelle ?	Descendre par l'amont rive droite, le long du pont	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3702281	5,5928242	308
386	Morge	M	B	B25a	MB25a	Hopital_tunnel	A l'entree de la cave rive droite, arrivee d'une ancienne derivation - descendre en aval RG (du pont Hopital) et traverser	RD			2017 : vieux nids	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3693481	5,5919766	295
388	Morge	M	B	B26a	MB26a	Parc_mairie	Sous grand pont central dans Parc (vers enclos daims) Descendre par barreaux (echelle de sevice) en aval RG.	RD / Milieu	Donne vers RD	Lampe		38563	VOIRON	38	ISERE	RHONE-ALPES	45,3614032	5,5925024	278
390	Morge	M	B	B27a	MB27a	Cigogne	Descendre en amont RD et longer le mur. Mettre escabeau sur plaque en dessous du nichoir, sinon trop profond et irregulier ailleurs	Milieu	Donne vers l'aval	Escabeau		38563	VOIRON	38	ISERE	RHONE-ALPES	45,3551460	5,5941224	267
391	Morge	M	B	B28a	MB28a	Wesseling	Descente en aval RG	RG	Donne vers l'aval			38563	VOIRON	38	ISERE	RHONE-ALPES	45,3528238	5,5928135	265
392	Morge	M	B	B29a	MB29a	Paviot	Tourner au feu, pont juste au niveau de la zone d'activites (sur la gauche). Descendre par barreaux en aval du pont RD (trou dans grillage)	RD	Donne vers l'aval			38563	VOIRON	38	ISERE	RHONE-ALPES	45,3510444	5,5907106	261
394	Morge	M	B	B30a	MB30a	Trincon	"Dans tunnel sous ancienne usine, a la sortie. Acces : vers ""Castel Anne"", tourner vers batiments, entrer dans la cour et se garer, passer sous le porche en direction de la voie ferree, longer le cote arriere du batiment."	Milieu	Donne vers l'aval	"Escabeau ; Lampe"		38563	VOIRON	38	ISERE	RHONE-ALPES	45,3477721	5,5852711	253
398	Morge	M	B	B31a	MB31a	Clos_morge	Sous passerelle entre ebenisterie et usine en face. Acces en prenant la petite impasse qui longe la voie ferree a partir de Patiniere, se garer au bout sans gener (juste avant les maisons) puis descendre par petit portillon + barreaux (aval RG de la passerelle)	RG	Donne vers RD	RAS		38563	VOIRON	38	ISERE	RHONE-ALPES	45,3464902	5,5774069	242
399	Morge	M	B	B32a	MB32a	Patiniere	Descendre rive gauche et traverser sous le pont	RD	Donne vers RG	Echelle		38400	SAINT-JEAN-DE-MOIRANS	38	ISERE	RHONE-ALPES	45,3452008	5,5729973	236
401	Morge	M	B	B33a	MB33a	Saix	Descendre par l'aval du pont RG	RG	Donne vers RD	RAS		38400	SAINT-JEAN-DE-MOIRANS	38	ISERE	RHONE-ALPES	45,3419507	5,5664420	230
404	Morge	M	B	B34a	MB34a	Scey	Sous passerelle privee - descendre en amont RG au niveau du petit pont chemin carrossable, puis descendre vers l'aval sur 20-30 m environ	RD	Donne vers RG	Echelle ?		38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3370413	5,5606484	215
406	Morge	M	B	B35a	MB35a	Barjon	A COMPLETER			Echelle pour descendre : telescopique (le long du mur juste en aval du tunnel) ou petite echelle (longer RG, passer grillage attention, descendre en aval et remonter)	Installe decembre 2015	38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3350408	5,5604754	220
409	Morge	M	B	B36a	MB36a	Manoir_chancoy	Descente en aval RG	RD / amont	Donne vers l'amont	RAS		38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3309247	5,5611956	205
411	Morge	M	B	B37a	MB37a	Jacques	Descente cote parking (en amont RD du tunnel puis traverser car moins profond RG)	RD / amont	Donne vers l'aval	Lampe	Deplace a l'automne 2015 vers l'entree du tunnel en amont	38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3272664	5,5610776	200
413	Morge	M	B	B38a	MB38a	Champ_long	A l'entree aval du tunnel. Descendre soit par jardin potagers en aval rive gauche et traverser la riviere soit par chez les gens (tres gentils) 	RD	Donne vers l'aval	Lampe	Installe juillet 2016	38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3255532	5,5606082	196
415	Morge	M	B	B39a	MB39a	Rosey	Sous le pont de la voie de chemin de fer, au plafond	RG	Donne vers RD	Escabeau	Bouge en novembre 2017	38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3234383	5,5591195	195
416	Morge	M	B	B40a	MB40a	Petites_iles	Sous petit pont	RD	Donne vers RG	RAS		38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3108590	5,5682270	186
344	Morge	M	N	N01a	MN01a	Tourniquet_aval	Sous gros rocher en surplomb. Descente en amont RD (passage dans grillage puis traverser la passerelle en contrebas maison et continuer RG)	RD	RAS	RAS	2014 (vieux nid)	38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4130932	5,6800174	537
348	Morge	M	N	N02a	MN02a	Champallier_mur	Sur mur en aval du pont, le long de la ferme	RD	RAS	RAS	2014 (appele Champtoraz a l'epoque) et 2015: sur mur	38362	SAINT-AUPRE	38	ISERE	RHONE-ALPES	45,4058624	5,6701684	481
352	Morge	M	N	N03a	MN03a	Belier_2	Dans falaise cascade	RD	RAS	Echelle telescopique ou 3 pans		38362	SAINT-AUPRE	38	ISERE	RHONE-ALPES	45,3979303	5,6513071	507
361	Morge	M	N	N04a	MN04a	Grotte_ours_2	Dans Grotte du nichoir. Le nid se trouve en haut a gauche de la grotte quand on regarde vers l'exterieur.	RG		"Lampe ; Impermeable"	2014 et 2015	38383	SAINT-ETIENNE-DE-CROSSEY	38	ISERE	RHONE-ALPES	45,3782566	5,6313944	415
363	Morge	M	N	N05a	MN05a	Aval_grotte_ours_aval	Au niveau toute petite cascade, dans berge/racines	RG	RAS	RAS	2015	38383	SAINT-ETIENNE-DE-CROSSEY	38	ISERE	RHONE-ALPES	45,3750763	5,6307615	406
366	Morge	M	N	N06a	MN06a	Moulins_crossey_2	Sur poutres metalliques pont cote amont, au dessus du nichoir	RD	RAS	Echelle telescopique	2014 et 2017 : Nid naturel present au-dessus du nichoir	38383	SAINT-ETIENNE-DE-CROSSEY	38	ISERE	RHONE-ALPES	45,3678105	5,6286693	393
369	Morge	M	N	N07a	MN07a	Taramont	Au niveau de la cascade	RG	RAS	RAS	2016	38133	COUBLEVIE	38	ISERE	RHONE-ALPES	45,3706521	5,6183481	380
371	Morge	M	N	N08a	MN08a	Taillanderie_2	Sous meme pont que nichoir. Descente pas l'aval RG ou si portail ouvert : par l'amont RG (echelle pour descendre)				2014	38133	COUBLEVIE	38	ISERE	RHONE-ALPES	45,3711722	5,6161809	376
372	Morge	M	N	N09a	MN09a	Taillanderie_aval	Sur mur en ruines de l'ancienne usine dans le debut des gorges	RG	RAS	RAS	2016	38133	COUBLEVIE	38	ISERE	RHONE-ALPES	45,3714510	5,6142926	370
373	Morge	M	N	N10a	MN10a	Camet_cascade	Sous cascade, cote RG (descendre en amont RG par le coin)	RG		Impermeable	2016	38133	COUBLEVIE	38	ISERE	RHONE-ALPES	45,3700359	5,6103364	364
375	Morge	M	N	N11a	MN11a	Camet_2	Dans trous du mur sous pont, au dessus du nichoir. Descendre par l'aval, en faisant attention	RD	RAS	Petite echelle	2014 et 2015	38133	COUBLEVIE	38	ISERE	RHONE-ALPES	45,3698833	5,6101727	364
376	Morge	M	N	N12a	MN12a	Stand_tir	Site de capture, pas de nid trouve					38563	VOIRON	38	ISERE	RHONE-ALPES	45,3679500	5,6042200	340
378	Morge	M	N	N13a	MN13a	Carrosserie_2	Juste a cote du nichoir, en hauteur	RD	RAS	Petite echelle	2018	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3695668	5,6011768	332
379	Morge	M	N	N13a	MN13a	Carrosserie_3	Cote amont du pont dans trou	RD	RAS	Petite echelle	2018	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3695668	5,6011768	332
380	Morge	M	N	N14a	MN14a	Usine_amont	Dans meurtriere le long de l'usine (derriere le gros tuyau) plutot cote amont du mur de l'usine. Verifier les autres meurtrieres	RD	RAS		2018	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3702903	5,5978131	315
382	Morge	M	N	N15a	MN15a	Hopital_amont	Dans cascade environ 200m en amont du pont Hopital				2017	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3702149	5,5955815	310
384	Morge	M	N	N16a	MN16a	Hopital_2	En face du nichoir, inspecter tous les trous sous pont	RG		"Echelle telescopique ; Jumelles"	2015 : vieux nid	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3702074	5,5928457	308
385	Morge	M	N	N17a	MN17a	Hopital_aval	Dans grand creux a mis hauteur, juste en aval de la grande cascade - acces en rappel uniquement, pour qqn d'assez grand (trou tres profond)	A COMPLETER		En rappel		38563	VOIRON	38	ISERE	RHONE-ALPES	45,3702149	5,5927223	305
387	Morge	M	N	N18a	MN18a	Hopital_tunnel_2	Dans tunnel, vieux nids RD	RD				38563	VOIRON	38	ISERE	RHONE-ALPES	45,3693783	5,5919015	295
389	Morge	M	N	N19a	MN19a	Parc_mairie_2	Serie de vieux nid au milieu du pont, avec planchette qui sert de support	A COMPLETER		Lampe	2015 : vieux nids	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3614032	5,5925024	278
393	Morge	M	N	N20a	MN20a	Paviot_cascade	Plusieurs nids, a l'abord direct de la cascade, rive droite et rive gauche (traverser eventuellement en haut de la cascade). Verifier aussi dans dans mini-tunnel juste au pied de la cascade et mur affluent en aval RG	RD et RG	RAS	Lampe		38563	VOIRON	38	ISERE	RHONE-ALPES	45,3516994	5,5928416	262
395	Morge	M	N	N21a	MN21a	Trincon_2	Vieux nids dans tunnel, a peu pres au milieu du tunnel, rive gauche	RG	RAS	"Escabeau ; Lampe"	2015	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3477721	5,5852711	253
396	Morge	M	N	N22a	MN22a	Trincon_3	Vieux nids dans tunnel, a peu pres au milieu du tunnel, rive gauche	RG	RAS	"Escabeau ; Lampe"	2015	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3477721	5,5852711	253
397	Morge	M	N	N23a	MN23a	Trincon_aval	Debut de nid RD dans trou mur	RD	RAS	RAS	2018	38563	VOIRON	38	ISERE	RHONE-ALPES	45,3474450	5,5835940	249
400	Morge	M	N	N24a	MN24a	Patiniere_cascade	Surement au niveau de la cascade a environ 150 m en amont du nichoir	RAS	RAS	RAS	2016	38400	SAINT-JEAN-DE-MOIRANS	38	ISERE	RHONE-ALPES	45,3452762	5,5743599	238
402	Morge	M	N	N25a	MN25a	Saix_cascade	Sur mur juste en aval de la cascade	RD	RAS	Impermeable	2016 et 2018	38400	SAINT-JEAN-DE-MOIRANS	38	ISERE	RHONE-ALPES	45,3416641	5,5660343	228
403	Morge	M	N	N26a	MN26a	Scey_cascade	Sur mur juste en aval de la cascade (bien en amont de la passerelle au nichoir). Acces en traversant champs puis traverser au-dessus cascade, descendre en aval RG et remonter	RG	RAS			38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3390549	5,5642748	221
405	Morge	M	N	N27a	MN27a	Scey_aval	Sous un petit tunnel RD juste en aval de la passerelle au nichoir (au debut du tunnel)	RD	RAS	Lampe		38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3369697	5,5603910	215
407	Morge	M	N	N28a	MN28a	Barjon_2	Pose sur gros tuyau noir sous tunnel, rive gauche, au milieu du tunnel environ - prendre lampe	RG		Echelle pour descendre : telescopique (le long du mur juste en aval du tunnel) ou petite echelle (longer RG, passer grillage attention, descendre en aval et remonter)		38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3350370	5,5604942	220
408	Morge	M	N	N29a	MN29a	Barjon_aval	Nid dans la buse rive gauche a la sortie du tunnel (en haut a droite quand on est face a la buse)	RG		Echelle pour descendre et verif nid : telescopique (le long du mur juste en aval du tunnel) ou petite echelle (longer RG, passer grillage attention, descendre en aval et remonter)	2016	38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3348522	5,5603882	220
410	Morge	M	N	N30a	MN30a	Manoir_chancoy_2	Sous meme pont que nichoir	RAS	RAS	RAS		38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3309247	5,5611956	205
412	Morge	M	N	N31a	MN31a	Jacques_2	Sous le tunnel (au debut) cote rive gauche	RG / amont	RAS	Lampe	2015	38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3271929	5,5610320	200
414	Morge	M	N	N32a	MN32a	Champ_long_2	Nid dans creux entre poutres a l'entree aval du tunnel, rive droite	RD	RAS	Lampe	2016	38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3255655	5,5606056	196
417	Olon	O	B	B01a	OB01a	Fange	Nichoir sous pont route principale. Se garer au debut du chemin. Acces en aval RD	RD	Donne vers RG	Lampe	Installe decembre 2015. Premiere occupation en 2018.	38239	MOIRANS	38	ISERE	RHONE-ALPES	45,3372147	5,5383110	298
418	Olon	O	B	B02a	OB02a	Carabiliat_bas	Se garer au debut du chemin (depuis l'aval) et aller a pied - sous passerelle	A COMPLETER		RAS	Installe decembre 2015 - passerelle	38566	VOUREY	38	ISERE	RHONE-ALPES	45,3321616	5,5301571	260
419	Olon	O	B	B03a	OB03a	Sabot	Descente en aval RD	A COMPLETER		RAS	Installe decembre 2015	38566	VOUREY	38	ISERE	RHONE-ALPES	45,3253128	5,5261016	230
421	Olon	O	B	B04a	OB04a	Vourey	Attention, sonner chez le proprio pour l'avertir (ou appeler le 06 22 35 52 42) avant de descendre au nichoir	A COMPLETER		RAS	Installe decembre 2015	38566	VOUREY	38	ISERE	RHONE-ALPES	45,3180255	5,5211663	196
422	Olon	O	B	B05a	OB05a	Goureux	RAS	A COMPLETER		RAS	Installe decembre 2016	38566	VOUREY	38	ISERE	RHONE-ALPES	45,3081719	5,5277967	186
420	Olon	O	N	N01a	ON01a	Sabot_2	Sous meme pont que nichoir			RAS		38566	VOUREY	38	ISERE	RHONE-ALPES	45,3253128	5,5261016	230
437	SPChartreuse	P	B	B01a	PB01a	Rajas	Sous pont presque au bout de la route	A COMPLETER		RAS		38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3314451	5,8456922	970
436	SPChartreuse	P	B	B02a	PB02a	Perquelin	A COMPLETER			RAS		38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3328329	5,8421516	958
435	SPChartreuse	P	B	B03a	PB03a	Bussiere	Sous passerelle	A COMPLETER		RAS	Anciennement appele Perquelin_aval	38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3350427	5,8371198	945
433	SPChartreuse	P	B	B04a	PB04a	Frechette	Sous pont large ou la route passe de l'autre cote du Guiers	RD	Donne vers l'aval	Lampe	Installe juillet 2016. Anciennement appele buissiere	38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3374862	5,8283758	915
432	SPChartreuse	P	B	B05a	PB05a	Antonins	Pont non indique sur la carte					38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3382404	5,8234298	885
429	SPChartreuse	P	B	B06a	PB06a	Pre_barrey	Acces par piste qui mene a maison abandonnee, se garer devant la maison					38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3398297	5,8162254	830
430	SPChartreuse	P	B	B07a	PB07a	Pre_barrey_cascade	Dans cavite sur mur de la cascade				Installe juillet 2016 	38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3398090	5,8169603	832
427	SPChartreuse	P	B	B08a	PB08a	Diat_centre	A COMPLETER					38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3396280	5,8076584	794
425	SPChartreuse	P	B	B09a	PB09a	Pont_dame	Acces par le pont, descendre par l'amont, rive droite	A COMPLETER			Disparu novembre 2015: demander autorisation pour le remettre?	38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3403143	5,8055663	792
423	SPChartreuse	P	B	B10a	PB10a	Grand_logis	Plateau rocheux juste au pied du nichoir, sinon assez profond	RD	A COMPLETER	RAS		38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3439528	5,8008081	779
445	SPChartreuse	P	B	B11a	PB11a	Coche	A COMPLETER			RAS		38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3521905	5,8210802	948
443	SPChartreuse	P	B	B12a	PB12a	Baffardiere	A COMPLETER			RAS		38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3509539	5,8192563	935
442	SPChartreuse	P	B	B13a	PB13a	Patassiere	Descente en amont RD	A COMPLETER		RAS		38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3481038	5,8168960	903
439	SPChartreuse	P	B	B14a	PB14a	Carliniere	Sous passerelle chemin	A COMPLETER		RAS	Pose le 08/02/2017	38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3452912	5,8152223	874
428	SPChartreuse	P	B	B15a	PB15a	Diat_couzon	A COMPLETER				Deplace novembre 2015 depuis le pont en aval	38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3404915	5,8093053	804
470	SPChartreuse	P	B	B15a	PB15a	Pra_tete	A COMPLETER			RAS	Arrache par crue 2018 - Installe novembre 2015	38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,2942714	5,8094501	1111
469	SPChartreuse	P	B	B17a	PB17a	Pont_soler	A COMPLETER			RAS	Arrache par crue 2018 	38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3040557	5,8108933	1010
468	SPChartreuse	P	B	B18a	PB18a	Perelle	Acces par chemin, descente en amont ou aval RD	Milieu	Donne vers l'aval	RAS		38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3114655	5,8094555	951
465	SPChartreuse	P	B	B19a	PB19a	Brevardiere	Acces par chemin derriere Gite de Louise	RG	Donne vers RD	RAS		38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3151738	5,8081627	913
464	SPChartreuse	P	B	B20a	PB20a	Michons	A COMPLETER			RAS	A sec en novembre 2015: a retirer a terme?	38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3136459	5,8063387	928
463	SPChartreuse	P	B	B21a	PB21a	Gerentiere	Descente en amont RD	RD	Donne vers RG	RAS		38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3188360	5,8077540	884
448	SPChartreuse	P	B	B22a	PB22a	Petit_bargettes	Chemin carrossable mais pas jusqu'au bout (boueux). Descente en aval RD	RG	Donne vers l'aval	RAS		38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3324746	5,8081976	820
450	SPChartreuse	P	B	B23a	PB23a	Grand_bargettes	A COMPLETER			RAS		38442	SAINT-PIERRE-DE-CHARTREUSE	38	ISERE	RHONE-ALPES	45,3333005	5,8067250	811
